Level,Code.,Municipality,Horse,Pork - total,Sheep_Goat,beef_cattle,milk_cattle,excl_cattle,Layers,Broilers,标记
MU,1501204,Baião (PA),7.0,3679.0,487.0,,,,12248,128383.0,
MU,1501253,Bannach (PA),,,,,,,...,,
MU,1501303,Barcarena (PA),9.0,4040.0,403.0,667.0,559.0,2820.0,8000,83856.0,
MU,1501402,Belém (PA),3.0,336.0,,364.0,306.0,1541.0,61020,639609.0,
MU,1501451,Belterra (PA),,,,,,,...,,
MU,1501501,Benevides (PA),10.0,6043.0,521.0,1415.0,1187.0,5984.0,49500,518857.0,
MU,1501576,Bom Jesus do Tocantins (PA),12.0,3432.0,232.0,,,,19900,208591.0,
MU,1501600,Bonito (PA),10.0,1144.0,355.0,1627.0,1365.0,6883.0,8780,92032.0,
MU,1501709,Bragança (PA),106.0,4127.0,3547.0,6992.0,5868.0,29580.0,65000,681327.0,
MU,1501725,Brasil Novo (PA),,,,,,,...,,
MU,1501758,Brejo Grande do Araguaia (PA),8.0,5304.0,504.0,,,,38500,403555.0,
MU,1501782,Breu Branco (PA),,,,,,,...,,
MU,1501808,Breves (PA),1.0,5473.0,,611.0,513.0,2585.0,4850,50837.0,
MU,1501907,Bujaru (PA),17.0,1264.0,1121.0,1057.0,887.0,4471.0,28740,301251.0,
MU,1501956,Cachoeira do Piriá (PA),,,,,,,...,,
MU,1502004,Cachoeira do Arari (PA),82.0,4726.0,3547.0,36238.0,30410.0,153300.0,3080,32284.0,
MU,1502103,Cametá (PA),2.0,18550.0,529.0,371.0,311.0,1570.0,65313,684608.0,
MU,1502152,Canaã dos Carajás (PA),,,,,,,...,,
MU,1502202,Capanema (PA),24.0,1569.0,330.0,2065.0,1733.0,8736.0,9210,96539.0,
MU,1502301,Capitão Poço (PA),60.0,3496.0,1264.0,8828.0,7408.0,37344.0,26922,282195.0,
MU,1502400,Castanhal (PA),52.0,2954.0,2277.0,7649.0,6419.0,32360.0,37000,387832.0,
MU,1502509,Chaves (PA),898.0,38833.0,49883.0,56612.0,47507.0,239488.0,17570,184168.0,
MU,1502608,Colares (PA),1.0,64.0,,83.0,70.0,353.0,2850,29874.0,
MU,1502707,Conceição do Araguaia (PA),79.0,54877.0,10709.0,109372.0,91783.0,462686.0,199516,2091318.0,
MU,1502756,Concórdia do Pará (PA),21.0,1050.0,1567.0,1718.0,1442.0,7269.0,16744,175510.0,
MU,1502764,Cumaru do Norte (PA),,,,,,,...,,
MU,1502772,Curionópolis (PA),30.0,9556.0,605.0,,,,52500,550303.0,
MU,1502806,Curralinho (PA),2.0,3171.0,,,,,4750,49789.0,
MU,1502855,Curuá (PA),,,,,,,...,,
MU,1502905,Curuçá (PA),57.0,3475.0,907.0,1891.0,1587.0,8000.0,30000,314459.0,
MU,1502939,Dom Eliseu (PA),25.0,3308.0,996.0,,,,6860,71906.0,
MU,1502954,Eldorado do Carajás (PA),,,,,,,...,,
MU,1503002,Faro (PA),78.0,9047.0,4592.0,6916.0,5804.0,29258.0,13087,137177.0,
MU,1503044,Floresta do Araguaia (PA),,,,,,,...,,
MU,1503077,Garrafão do Norte (PA),21.0,2450.0,418.0,4033.0,3385.0,17063.0,16580,173791.0,
MU,1503093,Goianésia do Pará (PA),,,,,,,...,,
MU,1503101,Gurupá (PA),3.0,3731.0,428.0,1596.0,1339.0,6750.0,5320,55764.0,
MU,1503200,Igarapé-Açu (PA),21.0,487.0,272.0,1643.0,1379.0,6950.0,20000,209639.0,
MU,1503309,Igarapé-Miri (PA),5.0,11511.0,282.0,473.0,397.0,2000.0,13500,141506.0,
MU,1503408,Inhangapi (PA),28.0,2085.0,826.0,1366.0,1147.0,5780.0,17000,178193.0,
MU,1503457,Ipixuna do Pará (PA),,,,,,,...,,
MU,1503507,Irituia (PA),56.0,7067.0,,4354.0,3654.0,18420.0,38590,404499.0,
MU,1503606,Itaituba (PA),48.0,11564.0,6120.0,32075.0,26917.0,135689.0,141450,1482673.0,
MU,1503705,Itupiranga (PA),8.0,13379.0,534.0,,,,88400,926605.0,
MU,1503754,Jacareacanga (PA),,,,,,,...,,
MU,1503804,Jacundá (PA),19.0,8470.0,262.0,,,,85400,895159.0,
MU,1503903,Juruti (PA),85.0,4218.0,7965.0,10262.0,8612.0,43414.0,10540,110480.0,
MU,1504000,Limoeiro do Ajuru (PA),,11077.0,30.0,,,,6584,69013.0,
MU,1504059,Mãe do Rio (PA),20.0,10024.0,237.0,8839.0,7418.0,37393.0,36324,380747.0,
MU,1504109,Magalhães Barata (PA),3.0,287.0,126.0,,,,2766,28993.0,
MU,1504208,Marabá (PA),24.0,24542.0,584.0,17651.0,14812.0,74670.0,90400,947569.0,
MU,1504307,Maracanã (PA),3.0,361.0,121.0,,,,7500,78615.0,
MU,1504406,Marapanim (PA),10.0,869.0,252.0,756.0,635.0,3200.0,10000,104820.0,
MU,1504422,Marituba (PA),,,,,,,...,,
MU,1504455,Medicilândia (PA),40.0,1177.0,1794.0,,,,24200,253663.0,
MU,1504505,Melgaço (PA),,2962.0,,642.0,538.0,2714.0,1530,16037.0,
MU,1504604,Mocajuba (PA),1.0,1646.0,156.0,,,,15359,160992.0,
MU,1504703,Moju (PA),19.0,8470.0,2116.0,27846.0,23368.0,117800.0,14000,146747.0,
MU,1504752,Mojuí dos Campos (PA),,,,,,,...,,
MU,1504802,Monte Alegre (PA),149.0,13900.0,15116.0,18911.0,15870.0,80000.0,180000,1886752.0,
MU,1504901,Muaná (PA),52.0,26609.0,3573.0,13655.0,11459.0,57766.0,18732,196348.0,
MU,1504950,Nova Esperança do Piriá (PA),,,,,,,...,,
MU,1504976,Nova Ipixuna (PA),,,,,,,...,,
MU,1505007,Nova Timboteua (PA),9.0,442.0,153.0,1035.0,869.0,4380.0,17150,179766.0,
MU,1505031,Novo Progresso (PA),,,,,,,...,,
MU,1505064,Novo Repartimento (PA),,,,,,,...,,
MU,1505106,Óbidos (PA),112.0,3710.0,9369.0,16173.0,13572.0,68416.0,25300,265193.0,
MU,1505205,Oeiras do Pará (PA),1.0,5342.0,129.0,272.0,228.0,1149.0,8349,87514.0,
MU,1505304,Oriximiná (PA),114.0,5525.0,14164.0,14747.0,12375.0,62385.0,7659,80281.0,
MU,1505403,Ourém (PA),31.0,3831.0,529.0,5932.0,4978.0,25095.0,26645,279292.0,
MU,1505437,Ourilândia do Norte (PA),6.0,6513.0,249.0,12169.0,10212.0,51479.0,14126,148068.0,
MU,1505486,Pacajá (PA),446.0,28235.0,18643.0,,,,370000,3878324.0,
MU,1505494,Palestina do Pará (PA),,,,,,,...,,
MU,1505502,Paragominas (PA),144.0,15320.0,5784.0,165084.0,138535.0,698365.0,37130,389195.0,
MU,1505536,Parauapebas (PA),33.0,9339.0,312.0,,,,78800,825978.0,
MU,1505551,Pau D'Arco (PA),,,,,,,...,,
MU,1505601,Peixe-Boi (PA),20.0,847.0,826.0,2978.0,2499.0,12600.0,16000,167711.0,
MU,1505635,Piçarra (PA),,,,,,,...,,
MU,1505650,Placas (PA),,,,,,,...,,
MU,1505700,Ponta de Pedras (PA),872.0,20663.0,11901.0,44121.0,37026.0,186650.0,6025,63154.0,
MU,1505809,Portel (PA),4.0,4105.0,,12701.0,10658.0,53730.0,11400,119494.0,
MU,1505908,Porto de Moz (PA),5.0,8992.0,877.0,4912.0,4122.0,20780.0,20700,216976.0,
MU,1506005,Prainha (PA),26.0,7254.0,4182.0,20613.0,17298.0,87200.0,57500,602712.0,
MU,1506104,Primavera (PA),3.0,526.0,635.0,916.0,769.0,3875.0,3700,38783.0,
MU,1506112,Quatipuru (PA),,,,,,,...,,
MU,1506138,Redenção (PA),174.0,47614.0,3824.0,113122.0,94930.0,478549.0,149543,1567503.0,
MU,1506161,Rio Maria (PA),93.0,37045.0,6655.0,98255.0,82453.0,415654.0,155071,1625447.0,
MU,1506187,Rondon do Pará (PA),68.0,29737.0,1925.0,,,,96230,1008679.0,
MU,1506195,Rurópolis (PA),17.0,6733.0,5543.0,6051.0,5078.0,25600.0,50000,524098.0,
MU,1506203,Salinópolis (PA),1.0,180.0,84.0,82.0,68.0,345.0,3500,36687.0,
MU,1506302,Salvaterra (PA),55.0,4496.0,2454.0,8439.0,7082.0,35700.0,5160,54087.0,
MU,1506351,Santa Bárbara do Pará (PA),,,,,,,...,,
